,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,InventoryID,Description,ItemStatus,ItemClass,Type,ValuationMethod,PlanningMethod,PostingClass,TaxCategory,DefaultWarehouse,DefaultReceivingLocation,DefaultIssueLocation,BaseUnit,SalesUnit,PurchaseUnit,MfgDfltMarkFor,MakeToOrder,DefaultVendorIDUS,DefaultVendorIDCA,InvPlanningSource,EDGQBID,EDLQBID,EDGOldName,EDLOldName,PiecesOfMedia,PriceGroup,ItemHeight,ItemWidth,ItemIsMetric,VendorItemID,CycleID,SalesAccount,SalesSubAccount,SafetyStock,ReorderPoint,MinOrderQty,MaxOrderQty,LeadTime,ItemHeightText,ItemWidthText
,CP-40-BAC-IN-240              ,"40 VA, 240 VOLTS, BAC WITH LCD DISPLAY TRANSMITTER,INDOOR LARGE ENCLOSURE",AC,CNTRL     ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,No Default,FALSE,NULL,NULL,Purchase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,C4LP203/427X                  ,"20 3/4 X 27 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80001025-1626933250,80004219-1617621917,NULL,NULL,4,Custom,27,20.75,FALSE,NULL,101,40100,0,0,0,0,0,0,27,20 3/4
,C4LP2811X                     ,"28 X 11 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80001FDC-1712068276,NULL,NULL,NULL,4,Custom,11,28,FALSE,NULL,101,40100,0,0,0,0,0,0,11,28
,3LP111/4411/4X                ,"11 1/4 X 41 1/4 LPD, ALUMINUM FRAME, W/ 3 MEDIA PADS EXACT",AC,1INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,8000039E-1626929261,80003B42-1566238680,NULL,NULL,4,Custom,41.25,11.25,FALSE,NULL,101,40100,0,0,0,0,0,0,41 1/4,11 1/4
,3LP133/4313/4X                ,"13 3/4 X 31 3/4 LPD, HD FRAME, W/ 3 MEDIA PADS EXACT",AC,1INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,800003EE-1626929336,80003A6D-1558439882,NULL,NULL,4,Oversize,31.75,13.75,FALSE,NULL,101,40100,0,0,0,0,0,0,31 3/4,13 3/4
,3LP231/4171/4X                ,"23 1/4 X 17 1/4 LPD, HD FRAME, W/ 3 MEDIA PADS EXACT",AC,1INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000652-1626929883,80003A55-1557332802,NULL,NULL,4,Custom,17.25,23.25,FALSE,NULL,101,40100,0,0,0,0,0,0,17 1/4,23 1/4
,C4LP191/2231/4X               ,"19 1/2 X 23 1/4 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000FA9-1626933138,80002E58-1449593128,NULL,NULL,4,Custom,23.25,19.5,FALSE,NULL,101,40100,0,0,0,0,0,0,23 1/4,19 1/2
,"CP-SEISMIC 1/4"" FLAT WASHER   ",CYCLE 25  SEISMIC 1/4 FLAT WASHER,AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,560000-1144943732,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,"CP-SEISMIC 1/4"" X 0.75"" BOLT  ","CYCLE 25  SEISMIC 1/4 X 0.75"" BOLT",AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,560000-1144943732,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,"CP-SEISMIC 1/4"" X 20 LOCK NUT ",CYCLE 25  SEISMIC 1/4 X 20 LOCK NUT,AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,560000-1144943732,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,V8-SEISMIC HARDWARE           ,V8 SEISMIC HARDWARE PACKAGE,AC,V8PRTS    ,F,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,800019B2-1660740485,80003B20-1564752276,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,FMS2-16/5 DISPLAY             ,FMS DISPLAY UNIT,AC,UV3       ,F,Average,MRP,STCKFG,TAXABLE,EDG-PR1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,C4LP201/4201/4X               ,"20 1/4 X 20 1/4 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80001F95-1709737883,NULL,NULL,NULL,4,Custom,20.25,20.25,FALSE,NULL,101,40100,0,0,0,0,0,0,20 1/4,20 1/4
,US-1V8-4612-291/2-D           ,"46"" WIDE X 12"" HIGH X 29 1/2"" DEEP V-8 DOWNSTREAM",AC,V8U       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDG-PR4   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,80001346-1626933983,800032A9-1483471887,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,US-1V8-4618-291/2-D           ,"46"" WIDE X 18"" HIGH X 29 1/2"" DEEP V-8 DOWNSTREAM",AC,V8U       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDG-PR4   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,80001346-1626933983,800032A9-1483471887,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,C4LP163/4253/4X               ,"16 3/4 X 25 3/4 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000EEA-1626932964,800036D6-1526402942,NULL,NULL,4,Custom,25.75,16.75,FALSE,NULL,101,40100,0,0,0,0,0,0,25 3/4,16 3/4
,MS-3135                       ,"31 X 35 PREMIERONE POLARIZED MEDIA PADS, 3-PACK",AC,P1M       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80003D09-1582119395,NULL,NULL,3,NULL,35,31,FALSE,NULL,101,40100,0,0,0,0,0,0,35,31
,2PG2730GLPP24-M13             ,"27 X 30 X 2 GLASS, LOW PRESSURE, PLEADED, 24 VOLT PANEL HEAVY DUTY, MERV13",AC,2INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDG-PR4   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,8000219B-1726084516,80004D83-1724864616,NULL,NULL,4,NULL,30,27,FALSE,NULL,101,40200,0,0,0,0,0,0,30,27
,2PG3033GLPP24                 ,30 X 33 X 2 24 VOLT PANEL HEAVY DUTY FOR PLEATED MEDIA,AC,2INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Purchase,8000219B-1726084516,C1LP2030GP-M13,NULL,NULL,2,NULL,33,30,FALSE,NULL,101,40200,0,0,0,0,0,0,33,30
,2PG3033GLPP24-M13             ,"30 X 33 X 2 GLASS, LOW PRESSURE, PLEADED, 24 VOLT PANEL HEAVY DUTY, MERV13",AC,2INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDG-PR4   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,8000219B-1726084516,80004D83-1724864616,NULL,NULL,4,NULL,33,30,FALSE,NULL,101,40200,0,0,0,0,0,0,33,30
,C4LP193/4241/4X               ,"19 3/4 X 24 1/4 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80000FD8-1626933180,800037CB-1536777761,NULL,NULL,4,Custom,24.25,19.75,FALSE,NULL,101,40100,0,0,0,0,0,0,24 1/4,19 3/4
,MS-111/2231/2X                ,"11 1/2 X 23 1/2 PREMIERONE POLARIZED MEDIA PADS, 3-PACK EXACT",AC,P1M       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,NULL,NULL,NULL,3,NULL,23.5,11.5,FALSE,NULL,101,40100,0,0,0,0,0,0,23 1/2,11 1/2
,CP-SEISMIC BOTTOM PLATE       ,CYCLE 22  SEISMIC BOTTOM PLATE (CP-001),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-SEISMIC COMPONENT BRACKET  ,CYCLE 22  SEISMIC COMPONENT BRACKET (CP-003),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,RMS2-16/5 DISPLAY             ,RMS DISPLAY UNIT,AC,UV3       ,F,Average,MRP,STCKFG,TAXABLE,EDG-PR1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-SEISMIC COMPONENT BRACKET H,CYCLE 22  SEISMIC COMPONENT BRACKET HOLDER (CP-004),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-SEISMIC MINIHELIC HOLDER   ,CYCLE 22  SEISMIC MINIHELICHOLDER (CP-007),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-SEISMIC PRESSURE GAUGE BRAC,CYCLE 22  SEISMIC PRESSURE GAUGE BRACKET (CP-006),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-SEISMIC PRESSURE GAUGE HOLD,CYCLE 22  SEISMIC PRESSURE GAUGE HOLDER (CP-005),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-SEISMIC SWING PANEL        ,CYCLE 22  SEISMIC SWING PANEL(CP-002),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800041D1-1614864935,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,E-072L                        ,CYCLE 22  100VA 120/208/240/277/480 TO 24VAC,AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,TR100VA015,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,3LP131/225X                   ,"13 1/2 X 25 LPD, HD FRAME, W/ 3 MEDIA PADS EXACT",AC,1INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,NULL,NULL,NULL,4,Custom,25,13.5,FALSE,NULL,101,40100,0,0,0,0,0,0,25,13 1/2
,PNL-PKT-MPA                   ,PANEL LABEL PACKET FOR MODERN PURAIR,AC,RWMAT     ,F,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,C1LP2730GP-M13                ,27 X 30 PLEATED MEDIA PACK-GLASS + LPD CENTER SCREEN + M13 PLEAT,AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDG-PR4   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,800009F6-1626931782,800029F6-1414429302,NULL,NULL,1,NULL,30,27,FALSE,NULL,101,40100,0,0,0,0,0,0,30,27
,C4LP183/8133/8X               ,"18 3/8 X 13 3/8 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80001E0A-1687201841,80002D48-1439571845,NULL,NULL,4,Custom,13.375,18.375,FALSE,NULL,101,40100,0,0,0,0,0,0,13 3/8,18 3/8
,3LP163/425X                   ,"16 3/4 X 25 LPD, HD FRAME, W/ 3 MEDIA PADS EXACT",AC,1INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80002196-1725906126,80004D90-1725968913,NULL,NULL,4,Custom,25,16.75,FALSE,NULL,101,40100,0,0,0,0,0,0,25,16 3/4
,C-B0430 SEISMIC               ,CYCLE 25  BRACKET FOR SEISMIC APPLICATIONS ONLY,AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,80002605-1375296777,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,CP-8X32 PEM NUT               ,CYCLE 22  18-8 STAINLESS STEEL PEM NUT FOR CP BACK PLATE,AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,C00001-1145990993,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,MS-133/4233/4X                ,"13 3/4 X 23 3/4 PREMIERONE POLARIZED MEDIA PADS, 3-PACK EXACT",AC,P1M       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80003E6B-1597236088,NULL,NULL,3,NULL,23.75,13.75,FALSE,NULL,101,40100,0,0,0,0,0,0,23 3/4,13 3/4
,MS-151/2241/2X                ,"15 1/2 X 24 1/2 PREMIERONE POLARIZED MEDIA PADS, 3-PACK EXACT",AC,P1M       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80004AD1-1693340633,NULL,NULL,3,NULL,24.5,15.5,FALSE,NULL,101,40100,0,0,0,0,0,0,24 1/2,15 1/2
,P6100 - 133/4233/4X           ,"PREMIERONE 13 3/4 X 23 3/4 POLARIZED MEDIA PANEL, W/ 3-PK MEDIA EXACT",AC,P1P       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80004908-1673871910,NULL,NULL,4,NULL,23.75,13.75,FALSE,NULL,101,40100,0,0,0,0,0,0,23 3/4,13 3/4
,C4LP291/2151/2X               ,"29 1/2 X 15 1/2 LPD MEDIA, 4-PACK EXACT",AC,1INM      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80001A7F-1665609809,NULL,NULL,NULL,4,Custom,15.5,29.5,FALSE,NULL,101,40100,0,0,0,0,0,0,15 1/2,29 1/2
,EDGE24.5X13.5-1.92A1          ,EDGE PANEL - 1.92 - ACID GAS BLEND - 24.5  X 13.5  - CUSTOM,AC,EDGEP     ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDG-PR4   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Manufacturing,80002152-1723500409,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,US-V8-CCB-INTPAK001           ,CHANNEL CROSS BAR (BABA PROJECT),AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,EDL-ON1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,8000304F-1457552925,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,US-V8-HVD-FF                  ,"18"" HV DRAWER FRONT FLANGE (BABA PROJECT)",AC,RWMAT     ,M,Average,Inventory Replenishment,STCKRM,TAXABLE,EDL-ON1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,Purchase,NULL,800029C8-1413567950,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,US-V8-SSB LEFT                ,LEFT HAND SIDE SEAL STEP BRACKET (BABA PROJECT),AC,RWMAT     ,M,Average,MRP,STCKRM,TAXABLE,EDL-ON1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,None,80001418-1626941672,80002B9E-1425657707,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,US-V8-SSB RIGHT               ,RIGHT HAND SIDE SEAL STEP BRACKET (BABA PROJECT),AC,RWMAT     ,M,Average,MRP,STCKRM,TAXABLE,EDL-ON1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Purchase,FALSE,NULL,NULL,None,800013D6-1626934154,80002B9D-1425657657,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40200,0,0,0,0,0,0,NULL,NULL
,3LP19131/2X                   ,"19 X 13 1/2 LPD, HD FRAME, W/ 3 MEDIA PADS EXACT",AC,1INP      ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDL-ON1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,80003277-1481126756,NULL,NULL,4,Custom,13.5,19,FALSE,NULL,101,40100,0,0,0,0,0,0,13 1/2,19
,P6100 - 24265/8X              ,"PREMIERONE 24 X 26 5/8 POLARIZED MEDIA PANEL, W/ 3-PK MEDIA EXACT",AC,P1P       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,EDL-ON1   ,ZONE 1    ,ZONE 1    ,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,800043F5-1626970931,NULL,NULL,4,NULL,26.625,24,FALSE,NULL,101,40100,0,0,0,0,0,0,26 5/8,24
,EM-0093                       ,3.27 PROFILE  FOR 17.5 INCH PANEL DIMENSION,AC,EDGERW    ,A,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80002282-1731951229,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,EM-0094                       ,BLACK FLANGE  FOR 17.5 INCH PANEL DIMENSION,AC,EDGERW    ,A,Average,Inventory Replenishment,STCKRM,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,80002273-1731950956,NULL,NULL,NULL,0,NULL,NULL,NULL,FALSE,NULL,101,40100,0,0,0,0,0,0,NULL,NULL
,MS-22221/2X                   ,22 X 22 1/2 PREMIERONE POLARIZED MEDIA PADS 3-PACK EXACT,AC,P1M       ,F,Average,Inventory Replenishment,STCKFG,TAXABLE,NULL,NULL,NULL,EACH,EACH,EACH,Production,FALSE,NULL,NULL,Manufacturing,NULL,NULL,NULL,NULL,3,NULL,22.5,22,FALSE,NULL,101,40100,0,0,0,0,0,0,22 1/2,22
