MIG_ID,Wave,Domain,Source_System,Source_Asset_or_Extract,Target_Object,Decision,Load_Strategy,Transform_and_Cleansing,Match_and_Dedupe_Rule,Validation_and_Recon,Archive_or_Retain,Cutover_Timing,WBS_Link,Priority,Notes
MIG-013,Wave 1,Transaction History Bootstrap,Acumatica,"Order, shipment, invoice, statement, payment extracts",Portal and CRM transaction views,Bootstrap via sync,Load recent history and backfill on demand by account,"Map one order to many invoices, normalize shipment and status vocabulary",ERP transaction IDs only,Transaction totals and sampled account statements match ERP; representative pilot accounts reconcile before dealer rollout,ERP remains authoritative store,Pre-go-live bootstrap with ongoing sync afterward,"Acumatica Integration & Data Migration > Expose order and finance history > Bootstrap recent orders, invoices, shipments, statements, and payment status into CRM and dealer views",P0,Recent history should be present at go-live so dealers are not landing in an empty account center. | Current WBS: Release 3 / Sprint 18
MIG-014,Wave 1,Consignment Master,Warehouse Tracking Master + Acumatica,Warehouse_Visit_Tracking_Master.xlsx tabs; consignment docs; warehouse extracts,"Consignment Sites, Audit Schedules, Warehouse IDs",Migrate,"Bulk load sites and audit state, then reconcile against ERP warehouses","Standardize location counts, site status, warehouse naming, TM ownership, due-date formats",Warehouse ID + CID + site description,"Site count reconciliation, sample audit dates, warehouse ID validation",Retain raw workbook snapshots,Pre-UAT load and final refresh before go-live,"Consignment Management > Bring real consignment locations into CRM > Load active, new, and exited consignment sites with warehouse identifiers and in-scope documents",P0,Research contains conflicting site counts; reconciliation is mandatory before sign-off. | Current WBS: Release 3 / Sprint 14
MIG-015,Wave 1,Consignment Documents,Dropbox / PDFs / forms,"Program Agreement, Initial Verification, Reconciliation, Adjustment, Exit, Damage forms",Consignment Document Repository,Migrate selectively,Migrate in-scope operational documents and link to site/customer,"Rename consistently, attach metadata, classify by form type and site",File hash + site/customer/date,Document count by form type and sample retrieval tests,Archive low-value duplicates and obsolete copies,Pre-go-live staged import,"Consignment Management > Bring real consignment locations into CRM > Load active, new, and exited consignment sites with warehouse identifiers and in-scope documents",P1,Operational documents move into CRM scope; broader DAM content remains bounded. | Current WBS: Release 3 / Sprint 14
MIG-016,Wave 1,Training History,Map My Customer + Outlook + training portal,"Visit notes exports, calendar history, certification exports",Training Records and Hours History,Migrate selectively,Create structured training history from best-available sources; archive low-confidence records,"Split generic visit notes into training vs non-training where possible, normalize duration and type",Customer + user + date/time + training type heuristics,Hours totals sampled against known customer proof cases,Archive unresolved notes separately,Historical load before executive dashboard sign-off,"Training Management > Prove what was delivered > Backfill structured training history, completion evidence, and follow-up tasks from legacy sources",P1,This is one of the hardest migrations because source history is fragmented and partly unstructured. | Current WBS: Release 3 / Sprint 13
MIG-017,Wave 1,Digital Assets,Dropbox / Widen curated subset,Approved sales collateral and dealer-safe downloads,CRM Asset Library and Dealer Downloads,Selective import,Curate in-scope assets and load only approved files,"Brand tag, audience tag, file status, effective date",Asset name + checksum + brand,Business owner approves curated launch catalog,Enterprise-wide DAM stays outside CRM scope,Pre-go-live content readiness wave,Digital Assets & Document Handling > Make product and dealer assets usable without Widen or Dropbox hunts > Serve curated Widen and Dropbox assets through stable dealer-group-aware links,P1,Avoids trying to fully replace Widen inside the CRM program. | Current WBS: Release 3 / Sprint 19
MIG-018,Wave 2,Historical Reporting,QuickBooks,Historical GL or reporting exports,Reporting history tables and coverage panel,Migrate selectively,Load aggregated historical facts by month/account/product where feasible,Map legacy account/product structures to current reporting dimensions,Period + legacy key + mapped target dimension,Revenue by period reconciles to historical QuickBooks extracts,Keep raw extracts and lineage mapping,Post-core go-live or late pre-go-live if quality permits,"Reports & Analytics > Keep dashboards and exported reports consistent > Load KPI baseline packs and build lineage/reconciliation testing across dashboards, builder outputs, and exports",P2,Not needed to run day-one operations but important for executive trend analysis. | Current WBS: Release 4 / Sprint 21
MIG-019,Wave 1,CIS and Onboarding Files,Dropbox / admin folders / PDFs,Legacy CIS packages and onboarding docs,Customer-linked CIS Repository,Migrate selectively,"Migrate active and recent CIS packages first, older docs on demand","Attach customer, status, signature date, and document type metadata",Customer + date + file hash,Recent active customer sample retrieval and metadata accuracy check,Old low-value files can remain archived outside active repository,Pre-go-live active-account load,"CIS, Credit & Onboarding Workflow > File and retain onboarding artifacts > Migrate active CIS packages into governed document folders and customer context",P1,Focus on active/recent customer onboarding history to control effort. | Current WBS: Release 2 / Sprint 10
MIG-020,Wave 1,Dealer Group Rules,CRM reference data + Acumatica customer classifications + account setup extracts,"Affinity groups, ownership groups, portal eligibility, customer class, region, and private-label hints",Dealer Group Resolution Model,Transform and derive,Seed active account setups and derive dealer-group assignments from governed rules rather than hand-entered catalogs,"Normalize affinity names, ownership overlays, private-label codes, region values, and portal-eligibility flags",Account number + affinity + ownership + region,Representative dealer accounts resolve to the expected catalog group and branded portal context,Retain source snapshots and derived mapping outputs,Pre-dealer pilot,Product Management & Dealer Catalog Governance > Define account-driven catalog groups > Resolve dealer groups from migrated account setup,P0,This is the production replacement for static demo dealer groups. | Current WBS: Release 2 / Sprint 12
MIG-021,Wave 1,Product-to-Asset Linkage,Shopify exports + Widen curated links + Dropbox curated files,"Product images, collateral links, spec sheets, install guides, and file manifests",Product-to-Asset Link Registry,Migrate selectively,"Build a canonical linkage map by item ID / SKU, dealer group, brand, and region before go-live","Normalize filenames, brand tags, product IDs, regions, and duplicate file variants",Inventory ID or SKU + brand/region + file hash,"Sample products show the correct files in Product Management, dealer portal, and asset preview",Retain unresolved and out-of-scope files outside the launch library,Pre-go-live content wave,"Product Management & Dealer Catalog Governance > Attach the right branded files to each dealer group > Link migrated images, brochures, spec sheets, and install guides",P0,Reduces wrong-brand file risk and supports brand-safe sharing/export. | Current WBS: Release 3 / Sprint 19
MIG-022,Wave 1,Reporting Metric Baselines,Existing SQL exports / monthly packs / QuickBooks / operational spreadsheets,Approved baseline KPI outputs and historical comparison packs,Reporting KPI Baseline and Coverage Register,Migrate selectively,Load only the agreed baseline metrics needed for dashboard UAT and executive validation,"Align fiscal periods, metric definitions, and territory/account mappings",Period + metric + business dimension,Dashboard and priority report outputs reconcile to agreed baseline samples and KPI lineage tests,Retain raw baseline files and lineage mapping,Before reporting UAT,"Reports & Analytics > Keep dashboards and exported reports consistent > Load KPI baseline packs and build lineage/reconciliation testing across dashboards, builder outputs, and exports",P1,Protects reporting sign-off by making baseline evidence explicit. | Current WBS: Release 4 / Sprint 21
MIG-023,Wave 2,Cutover Delta Capture,Dynamics CRM / HubSpot / Shopify / Acumatica / file repositories,Delta capture queries and extracts per source system,Cutover delta load packages,Migrate,Capture changes between rehearsal and cutover and load them in the final migration window,Apply the same approved mapping and cleansing rules as rehearsal loads,Source system key + approved survivorship rules,Delta counts and sampled records reconcile to source extracts before final approval,Retain raw delta extracts and execution logs,Between final rehearsal and production cutover,Acumatica Integration & Data Migration > Capture data changes between rehearsal and cutover > Build migration delta capture queries per source system,P0,Implements the explicit delta-capture control added to the WBS. | Current WBS: Release 4 / Sprint 25
MIG-024,Wave 2,Rollback Control,Target platform + migration execution logs,"Pre-cutover snapshots, backup manifests, and restore scripts",Rollback package per migration wave,Retain and operationalize,Prepare rollback manifests and restore procedures before each migration wave,Not applicable; operational rollback control,Not applicable,Rollback rehearsal restores target state and supports go/no-go review,Retain backup manifests and rollback execution evidence,Before rehearsal sign-off and before production cutover,Acumatica Integration & Data Migration > Enable safe migration rollback > Build rollback procedures and scripts per migration wave,P0,Anchors the explicit rollback-script control now present in the WBS. | Current WBS: Release 4 / Sprint 25
