INT_ID,Domain,Interface_Name,Source_System,Target_System,Pattern,Direction,Trigger_or_Event,Frequency_or_Timing,Primary_Data_Objects,Source_of_Truth,Failure_and_Reconciliation,Security_or_Compliance,Dependency_Refs,WBS_Link,Status,Priority,Notes,Vendor_Option,Vendor_Decision_Status,Vendor_Notes
INT-011,Learning,Training Certification Sync,Training Website / Learning Portal,CRM,API sync or scheduled extract,Inbound to CRM,Course completion or scheduled certification refresh,Daily until vendor supports events,"Course completion, certificate, learner, completion date",Training portal,"Completion-count comparison, unmapped learner exception queue, manual certification hold list",Learner identity mapping and privacy review,DEP-022,Training Management > Certification Integration > Connect learning credentials,In Scope,P2,API capability must be confirmed; fallback is scheduled file import.,Vendor learning portal API or scheduled CSV/XLSX extract,Open decision,Roadmap captures the integration pattern; final vendor should follow client standard and security review.
INT-012,Payments,Dealer Payment Tokenization and Authorization,Dealer Portal / CRM,Payment Gateway (US and CA processors),Hosted fields or tokenized API,Outbound from CRM with inbound status callbacks,Dealer payment entry or saved method update,Real-time,"Payment token, authorization result, masked payment method, settlement reference",Gateway for payment token and auth; Acumatica for settlement posting,"Payment attempt logs, callback verification, ERP settlement comparison",PCI tokenization; no raw card storage in CRM,DEP-019; DEP-023,Dealer Portal Replacement for Shopify > Dealer Payments > Preserve secure payment operations,In Scope,P1,Provider selection remains open because the business currently uses separate US and Canada processors.,"Regional payment gateways; examples: Authorize.net / Stripe (US), Moneris / Nuvei (CA)",Open decision,"Do not lock provider until US/CA processor, tokenization, and ERP settlement constraints are confirmed."
INT-013,Documents,Dropbox Document Intake,Dropbox,CRM Document Repository,One-time migration + staged import,Inbound to CRM,Migration wave and manual catch-up batches,"Pre-go-live bulk load, then limited catch-up until cutover","CIS packages, consignment forms, onboarding artifacts, account files",CRM after cutover for in-scope operational documents,"Folder manifest, checksum count, missing-file exception list, sample document retrieval test",Access preservation and PII review,DEP-013; DEP-024,Digital Assets & Document Handling > Legacy File Migration > Preserve legacy document history,Transitional,P1,Dropbox remains source only during migration window.,Dropbox export / migration utilities,Confirmed by current-state source,Current roadmap position based on validated scope and available meeting evidence.
INT-014,Assets,Widen Boundary and Asset Reference Feed,Widen,CRM / Dealer Portal,Boundary-only reference or selective metadata pull,Selective inbound or none,Asset curation decision,As needed,Asset metadata or curated dealer-safe files,Widen for enterprise-wide DAM; CRM for migrated in-scope assets,Curated asset manifest review,Asset licensing and audience permissions,DEP-024,Digital Assets & Document Handling > Legacy File Migration > Preserve legacy document history,Boundary Only,P3,Research direction is to avoid turning CRM into a full Widen replacement.,Widen curated metadata/file export,Confirmed by current-state source,Current roadmap position based on validated scope and available meeting evidence.
INT-015,Historical Reporting,QuickBooks Historical Fact Import,QuickBooks,Reporting Layer,One-time extract load,Inbound to reporting store,Historical migration wave,One-time load plus remediation cycles,"Historical revenue, customer, and trend facts",Reporting store for migrated history with lineage preserved,Aggregate revenue comparison by month/year and coverage labels where data is partial,Read-only extraction and lineage tagging,DEP-020; DEP-025,Acumatica Integration & Data Migration > Historical Reporting Migration > Extend time horizons for analytics,In Scope,P2,Only needed for long-range reporting; not required for transactional go-live.,QuickBooks export (CSV/XLSX/ODBC depending availability),Assumed design option,Current roadmap position based on validated scope and available meeting evidence.
INT-016,Legacy Lead History,HubSpot Historical Lead Export,HubSpot,CRM,File export import,Inbound to CRM,Migration wave,One-time bulk import with optional delta freeze period,"Historical leads, form metadata, campaign attribution",CRM after migration for retained history,"Lead count by source/site, duplicate review, random sample trace back to export",Consent metadata retention,DEP-016; DEP-025,Acumatica Integration & Data Migration > Lead Source Migration > Preserve inbound acquisition context,Transitional,P1,Net-new lead capture moves to branded CRM forms.,HubSpot export APIs / CSV export,Confirmed by current-state source,Current roadmap position based on validated scope and available meeting evidence.
INT-017,Legacy Dealer Context,Shopify Historical Dealer and Account Export,Shopify US / Shopify CA,CRM / Dealer Portal,File export import,Inbound to CRM,Dealer migration wave,One-time bulk load with pre-cutover freeze,"Dealer users, product favorites, account linkage, selected order history metadata",CRM / Acumatica after cutover depending data object,"User-account matching report, order count comparison, access verification test",Credential reset and account ownership verification,DEP-004; DEP-026,Acumatica Integration & Data Migration > Dealer & Commerce Migration > Preserve dealer context,Transitional,P1,"Acumatica remains the financial source for invoices, shipments, and payment history.",Shopify Admin export / CSV export (US and CA stores),Confirmed by current-state source,Current roadmap position based on validated scope and available meeting evidence.
INT-018,Mapping and Routing,Map and Geocoding Service,CRM / Mobile,Mapping Provider,API service,Outbound requests / inbound results,"Route plan, map view, geocode, distance check",On demand,"Coordinates, routes, travel estimates, pin metadata",CRM for account geo master; map provider for route calculation,"Fallback routing, cached map tiles, geocode exception list",API key management and mobile caching controls,DEP-007; DEP-021,Mobile Field App > Route Execution > Replace Map My Customer core workflows,In Scope,P1,Supports both web territory views and mobile route execution.,"Google Maps Platform, Mapbox, or HERE",Open decision,Roadmap captures the integration pattern; final vendor should follow client standard and security review.
INT-019,OCR,Business Card and CIS OCR Service,CRM / Mobile,OCR Provider,API service,Outbound image / inbound extraction,"Photo capture of badge, business card, or handwritten CIS",On demand,"Images, extracted fields, confidence scores",CRM after user review and acceptance,"Confidence threshold, review queue, manual fallback","PII handling, encrypted media transit",DEP-027,"CIS, Credit & Onboarding Workflow > OCR Enablement > Support handwritten submissions",Later Wave,P2,Future-facing capability; not required for core go-live if confidence and vendor readiness are weak.,"Azure AI Document Intelligence, Google Vision, or AWS Textract",Open decision,Roadmap captures the integration pattern; final vendor should follow client standard and security review.
INT-020,Notifications,Alert and Scheduled Report Dispatch,CRM Notification Engine,Email / Microsoft 365 delivery channel,Outbound message dispatch,Outbound from CRM,"Lead alert, credit alert, training exception, consignment due, scheduled report",Event-driven and scheduled,"Notification payload, recipients, schedule, acknowledgment state",CRM for notification logic and delivery history,"Delivery log, bounce review, resend workflow, schedule audit",Role-based recipient control and message audit trail,DEP-008; DEP-014,"Communication, Notifications & Alerts > Alert Engine > Create one notification framework",In Scope,P0,Uses the common notification engine to support operational and executive reporting workflows.,Microsoft 365 / SMTP relay / SendGrid depending comms policy,Open decision,Roadmap captures the integration pattern; final vendor should follow client standard and security review.
INT-021,Dealer Context,Dealer Group Resolution Service,CRM Account Setup + Reference Data,Product Management / Dealer Portal / Digital Assets / Reporting,Shared service / governed read model,Internal shared resolution,"Account create or update, dealer login, product review, file review",Near real time / on demand,"Affinity group, ownership overlay, region, portal eligibility, brand shown, private-label code, price class reference",CRM for dealer-group resolution; Acumatica for customer and price-class source fields,"Mismatch queue, admin override review, representative-account regression checks",Role-based access and dealer-account audit trail,DEP-004; DEP-026; DEP-030,Product Management & Dealer Catalog Governance > Dealer Group Model > Resolve dealer groups from account setup,In Scope,P0,Separates dealer catalog visibility from price-class logic and keeps portal/product/assets in sync.,Internal Pulse shared service / governed read model,Confirmed by target architecture,Current roadmap position based on validated scope and available meeting evidence.
INT-022,Product Management,Approved Dealer Catalog Publish Feed,Pulse Product Management,Dealer Portal,API / read model publish,Outbound from CRM,Dealer-group go-live approval or scheduled publish refresh,On approval and scheduled refresh,"Approved products, dealer-group visibility, branded file references, go-live status",Pulse for dealer-facing approved catalog state,"Preview compare, publish queue, audit trail, rollback to last approved set",Publish rights limited to approved internal roles,DEP-005; DEP-029; DEP-033,Product Management & Dealer Catalog Governance > Go-Live Control > Run dealer-group go-live checks,In Scope,P0,"Dealer portal should consume approved Pulse catalog views, not raw ERP rows or seed data.",Internal Pulse publish API / dealer catalog read model,Confirmed by target architecture,Current roadmap position based on validated scope and available meeting evidence.
INT-023,Digital Assets,Asset Delivery and Share Service,Pulse Digital Assets,Product Management / Dealer Portal / Mobile / Email shares,API / secure file link service,Outbound from Digital Assets,"Asset preview, open, share, export, portal render, product detail lookup",On demand,"Images, brochures, spec sheets, install guides, dealer-group file references",Digital Assets for in-scope product/dealer file library,"Broken-link monitoring, brand-review exception list, fallback open in library",Signed links or controlled access per user role and dealer audience,DEP-024; DEP-031,Digital Assets & Document Handling > Asset Serving > Provide stable asset links and dealer-group-aware file serving,In Scope,P1,Covers the in-scope Widen-like file-serving behavior without promising full enterprise DAM replacement.,Azure Blob + Front Door/CDN or AWS S3 + CloudFront signed delivery,Open decision,Choose cloud object storage/CDN based on final hosting standard; both Azure and AWS fit the architecture.
INT-024,Digital Assets Transition,Widen Curated Asset Migration / Coexistence Feed,Widen,Pulse Digital Assets,Curated file/link extract import,Inbound to Pulse,Migration wave and optional delta refresh during transition,One-time curated load plus optional interim refresh,"Branded downloadable collateral, link metadata, usage context",Widen during transition; Pulse after approved import for in-scope assets,"Content manifest sign-off, broken-link review, curated whitelist reconciliation",Approved content only; no uncontrolled full-library import,DEP-024; DEP-031,Digital Assets & Document Handling > Legacy File Migration > Preserve legacy document history,Transitional,P1,Bounded to the product/dealer workflow; broader Widen use cases stay decision-gated.,Widen curated extract plus Pulse import pipeline,Confirmed by transition scope,Current roadmap position based on validated scope and available meeting evidence.
INT-025,Reporting,Reporting Semantic Layer Fact Assembly,Acumatica + CRM + Dealer Portal + Training + Consignment,Reporting Semantic Layer,ETL / ELT governed metrics pipeline,Inbound to reporting model,Operational refresh and scheduled executive refresh,Hourly intraday with nightly full refresh,"Leads, accounts, activities, training, consignment, orders, invoices, shipments, payments, portal engagement",Source systems by object; semantic layer for governed metrics,"Coverage labels, metric audit checks, exception queue, sample dashboard reconciliation",Role-based metric access and report audit history,DEP-014; DEP-015; DEP-032; DEP-039,"Reports & Analytics > Reporting Foundation > Build a reporting semantic layer spanning CRM, dealer, training, consignment, and ERP facts",In Scope,P0,Semantic-layer trust now explicitly depends on KPI reconciliation testing and baseline evidence before UAT and pilot sign-off.,PostgreSQL reporting store + ETL/ELT jobs; optional Power BI/Tableau downstream later,Assumed design option,Roadmap captures the integration pattern; final vendor should follow client standard and security review.
INT-026,Platform Infrastructure,Object Storage and Secure Asset Delivery,Pulse Digital Assets,Object Storage + CDN / Signed Link Layer,Storage API + signed delivery,Outbound from Pulse,"Asset upload, preview, open, portal render, share",On demand,"Asset binary, derivative preview, signed URL, cache-control metadata",Pulse metadata; storage layer for binary objects,"Broken-link monitoring, storage write retry, orphaned-file reconciliation, cache invalidation check","Signed URLs, role-based access, private bucket/container policies",DEP-024; DEP-031,Digital Assets & Document Handling > Asset Serving > Provide stable asset links and dealer-group-aware file serving,In Scope,P1,Implementation options include Azure Blob + Front Door/CDN or AWS S3 + CloudFront.,Azure Blob + Front Door/CDN or AWS S3 + CloudFront,Open decision,Choose cloud object storage/CDN based on final hosting standard; both Azure and AWS fit the architecture.
INT-027,Payments,Payment Gateway Provider Selection and Regional Routing,Dealer Portal / CRM,Regional Payment Gateways (US / CA),Hosted fields or tokenized API,Outbound from CRM with inbound callbacks,Dealer payment capture or saved-payment update,Real time,"Payment token, gateway reference, region routing, settlement callback",Gateway for token/auth; Acumatica for settlement posting,"Gateway callback verification, settlement mismatch review, provider failover/manual hold process",PCI tokenization and regional processor segregation,DEP-019; DEP-023,Dealer Portal Replacement for Shopify > Dealer Payments > Preserve secure payment operations,In Scope,P1,Provider names are intentionally still open; roadmap covers the gateway integration pattern and regional split.,"Regional payment gateways; examples: Authorize.net / Stripe (US), Moneris / Nuvei (CA)",Open decision,"Do not lock provider until US/CA processor, tokenization, and ERP settlement constraints are confirmed."
INT-028,Mobile Notifications,Mobile Push Notification Delivery Provider,CRM Notification Engine,Mobile Device Push Services,Push gateway dispatch,Outbound from CRM,"Lead assignment, training due, consignment due, credit alert, route change",Event-driven and near-real-time,"Device token, alert payload, quiet hours preference, acknowledgment state",CRM for alert logic and preferences; mobile platform for token delivery,"Delivery log, token invalidation cleanup, retry queue, preference mismatch review","Token protection, user/device association audit, least-privilege send credentials",DEP-008; DEP-021,Mobile Field App > Mobile Foundation > Build push notification receipt and user preferences,In Scope,P0,Makes the push provider dependency explicit instead of leaving it bundled inside the generic notification engine row.,Expo Notifications / Firebase Cloud Messaging + APNs / Azure Notification Hubs,Open decision,"Final provider should align with mobile platform strategy, MDM approach, and notification scale expectations."
INT-029,Mobile Voice Productivity,Mobile Speech-to-Text and Voice Capture Service,Mobile App,Speech / transcription provider,SDK or API transcription,Outbound from mobile with inbound transcript,"Voice note, hands-free lookup, activity log dictation",On demand,"Audio snippet, transcript, confidence score, language preference",CRM for saved activity record; provider for transient transcription result,"Fallback manual note entry, failed transcription retry, low-confidence review","Consent notice, transient audio retention policy, restricted access to captured audio",DEP-021,Mobile Field App > Voice Productivity > Capture voice notes with HVAC-aware transcription,In Scope,P1,Makes the speech dependency explicit for mobile voice notes and hands-free lookup called out in field feedback.,Azure Speech / OpenAI speech-to-text / Google Speech-to-Text,Open decision,"Choose based on HVAC vocabulary quality, privacy review, and offline fallback strategy."
INT-030,Integration Operations,"Integration Monitoring, Replay, and DLQ Control",CRM Integration Layer and Queue Workers,Operations Console / Support Command Center,Monitoring API + operator controls,Inbound telemetry with operator actions,"Sync failure, retry threshold, manual replay, cancel, or ownership action",Near-real-time with daily exception review,"Sync jobs, exception queue items, DLQ items, replay actions, ownership history",Integration job store and exception log,"Daily exception review, replay audit trail, sample transaction reconciliation, escalation to command center","Ops-only access, audit history, masked sensitive payload metadata",DEP-003; DEP-028; DEP-038,Acumatica Integration & Data Migration > Sync Monitoring > Make integrations supportable,In Scope,P1,Supports the support-command-center model added for pilot and early launch weeks.,Application-native ops console + queue store,Assumed design option,Should align to the selected queue and observability stack during Release 0.
