DEP_ID,Category,Successor_Deliverable,Predecessor_Deliverable,Dependency_Type,External_Dependency,Critical_Path,Criticality,Owner,Why_It_Matters,Failure_Impact,Mitigation_or_Fallback,Exit_Criteria,WBS_Link
DEP-011,Consignment,Audit scheduler live,Consignment site master reconciled and loaded,Finish-to-start,No,Yes,Critical,Consignment Lead,Audit logic cannot run on unreliable site and warehouse data.,"Wrong due dates, missing sites, and no trust in the dashboard.",Build Pulse site-master shell and manual status tracking now; park ERP warehouse/inventory truth until Acumatica access and certified mappings arrive.,Approved consignment site master with warehouse IDs and due dates; Acumatica sandbox credentials; certified warehouse/inventory endpoints; representative sample records.,Consignment Management > Audit Cycle > Enforce the 90-day operating rhythm
DEP-012,Consignment,PO clock and variance workflow,Digital reconciliation workflow implemented and audit scheduler live,Finish-to-start,No,Yes,High,Consignment Lead,PO escalation depends on counted-vs-expected reconciliation events and may require Acumatica PO behavior.,Missing inventory follow-up remains manual and late.,Build manual variance mailbox and due-date tracking now; park auto-PO creation/posting until Finance and Acumatica endpoint behavior are signed off.,Reconciliation generates missing-item events with due dates after scheduled audit cycles are active; Finance approves manual vs auto PO rule; Acumatica PO endpoints and field mappings are certified.,Consignment Management > PO Recovery > Track missing inventory follow-up
DEP-013,Reporting,Training proof and executive KPI widgets,Structured training history available,Finish-to-start,No,Yes,High,Reporting Lead,Training proof is only credible if structured hours and completion records exist.,One of the highest-value executive proofs remains unsupported.,Prioritize curated proof cases if full history slips.,Training hours validated for sample customers and reps.,Training Management > Training Proof > Turn training into executive proof
DEP-014,Reporting,Scheduled reports and executive dashboard,Reporting semantic layer approved,Finish-to-start,No,Yes,Critical,Reporting Lead,Reports and dashboards must resolve to a single governed metric model.,Numbers diverge across reports and executive trust erodes.,Freeze metric definitions before dashboard build-out.,Semantic layer signed off by business and data leads.,Reports & Analytics > Reporting Foundation > Create trusted reporting data
DEP-015,Reporting,Executive dashboard build-out,Priority template reports validated,Finish-to-start,No,Yes,High,Reporting Lead,Dashboard widgets should be assembled from already-validated report logic.,Dashboard becomes a disconnected custom artifact with inconsistent metrics.,Ship dashboard from validated report tiles only.,Five priority report families validated with business users.,Executive Dashboard > Executive KPI Framework > Give leadership one trusted command center
DEP-016,Migration,Lead history migration complete,Legacy extracts from Dynamics and HubSpot available,Finish-to-start,Yes,Yes,High,Migration Lead,Historical lead migration needs clean exports and freeze timing.,"Lead lineage, source attribution, and duplicate handling degrade.",Load only active/recent leads first and preserve archive exports separately.,Approved legacy extracts received and profiled.,Acumatica Integration & Data Migration > Legacy CRM Migration > Preserve operational history
DEP-017,Environment,ERP integrations tested in SIT/UAT,"Acumatica sandbox access, credentials, and API endpoint approval",Finish-to-start,Yes,Yes,Critical,Integration Lead,No meaningful ERP integration progress is possible without environment readiness.,"Core portal, customer, pricing, and reporting streams stall.",Escalate access early and use mocked contracts only for parallel UI work.,"Sandbox credentials, endpoint list, and authentication method confirmed.",Acumatica Integration & Data Migration > Integration Blueprint > Define the integration contract
DEP-018,Security,Public lead forms and Microsoft 365 integrations live,Security review and OAuth approval completed,Finish-to-start,Yes,Yes,High,Security Lead,Public intake and Outlook integration both require approved security posture.,Lead capture and calendar/email synchronization are blocked.,Split public intake launch from Microsoft integrations if needed.,Security sign-off and OAuth application approval complete.,"Security, Identity, Environments & DevOps > Security & Compliance > Protect sensitive credit and personal data"
DEP-019,Vendor,Dealer payments and order submit finalized,US/Canada payment provider model selected and approved,Finish-to-start,Yes,No,High,Product + Finance,Tokenization and settlement approach depends on provider selection.,Portal payment scope slips or becomes non-compliant.,Launch with account visibility only if payment method decision lags.,"Provider decision, contract, and integration pattern approved.",Dealer Portal Replacement for Shopify > Dealer Payments > Preserve secure payment operations
DEP-020,Finance,Credit alerts and historical reporting trusted,Financial data extracts and aging logic validated,Finish-to-start,Yes,No,Medium,Finance SME,Credit and historical views need validated finance data and logic.,Past-due alerts and long-range reporting lose credibility.,Limit historical scope and use current ERP aging first.,Sample account aging and historical totals verified.,"Communication, Notifications & Alerts > Credit & Collections Alerts > Make financial blockers visible"
DEP-021,Mobile,Offline mobile routing and scheduling,"API contract, map provider, and Outlook scheduling approach confirmed",Finish-to-start,Yes,No,Medium,Mobile Lead,Offline sync behavior depends on stable APIs and scheduling integration rules.,Mobile remains a thin shell and adoption suffers.,Defer non-essential mobile sync scopes if API maturity lags.,Offline-capable API contract and scheduling pattern approved.,Mobile Field App > Offline Reliability > Keep the app usable without connectivity
DEP-022,Vendor,Certification integration live,Training portal export/API capability confirmed,Finish-to-start,Yes,No,Medium,Training SME,Certification history cannot be automated without external system support.,Training record completeness remains partially manual.,Use scheduled file import if API is unavailable.,Portal export sample or API spec approved.,Training Management > Certification Integration > Connect learning credentials
DEP-023,Compliance,Dealer payment flow approved for production,PCI tokenization design and security review complete,Finish-to-start,Yes,No,High,Security Lead,Payment flows cannot launch without compliant tokenization and storage boundaries.,Payment functionality must be cut or delayed.,Use hosted payment page/tokenized provider flow only.,PCI review passed and card-data boundaries documented.,"Security, Identity, Environments & DevOps > Security & Compliance > Protect sensitive credit and personal data"
DEP-024,Content,Document and asset repository migration,Business-owned content curation complete,Finish-to-start,Yes,No,Medium,Marketing + Ops,Not all Dropbox/Widen content should move into CRM scope.,Repository fills with low-value or duplicate files.,Use a launch whitelist of required files only.,Approved in-scope content manifest signed off.,Digital Assets & Document Handling > Legacy File Migration > Preserve legacy document history
DEP-025,Migration,Historical reporting migration,QuickBooks and legacy exports profiled and mapped,Finish-to-start,Yes,No,Medium,Migration Lead,Historical analytics only make sense if lineage and dimensional mapping are understood.,Old data creates confusion instead of insight.,Move long-range history to later wave if profiling exposes poor quality.,Profiling report approved with clear coverage boundaries.,Acumatica Integration & Data Migration > Historical Reporting Migration > Extend time horizons for analytics
DEP-026,Access Model,Dealer cutover ready,Customer-account based access model approved by business and security,Finish-to-start,No,Yes,High,Product Owner,Portal migration must resolve the move from contact-centric Shopify access to company-account visibility.,Dealer users lose access or see the wrong company data.,Pilot migration with representative dealers and confirm account-sharing rules.,Access model sign-off and pilot validation complete.,Dealer Portal Replacement for Shopify > Dealer Visibility > Give companies shared operational visibility
DEP-027,Future Capability,OCR-based lead and CIS capture,OCR provider selection and confidence thresholds approved,Finish-to-start,Yes,No,Low,Product + Security,OCR should not enter the build without a reliable review model.,Poor extraction quality creates bad data and adoption distrust.,Keep OCR as later-wave and require manual review acceptance.,"Provider chosen, threshold defined, review queue designed.",Lead Capture & Lead Management > Lead Intake Operations > Enable badge and business-card OCR capture
DEP-028,Cutover,Production go-live approval,"Pilot exit, migration rehearsal, UAT sign-off, and rollback plan complete",Finish-to-start,No,Yes,Critical,PM,"The system should not go live without evidence that data, workflow, and rollback controls work.",High-risk launch with no safe recovery path.,"Run at least one full rehearsal, validate pilot success thresholds, and hold an executive go/no-go board.","Pilot exit approved, cutover checklist complete, rehearsals passed, and executive go-live approval obtained.","QA, UAT, Rollout & Adoption > Cutover Planning > Launch with control"
DEP-029,Product Management,Dealer-group product enrichment and go-live check,Acumatica base product sync and item identity mapping approved,Finish-to-start,Yes,Yes,Critical,Product + Integration Lead,Product Management cannot safely enrich products or link files until base item identity from Acumatica is trusted.,"Wrong items, duplicate products, or broken product-to-asset linking in dealer experiences.",Launch only a validated subset if full identity mapping slips.,"Base item sync, item identity mapping, and representative sample validation approved.",Product Management & Dealer Catalog Governance > Product Enrichment > Enrich base items with business-facing content
DEP-030,Dealer Group Context,"Dealer-group catalog visibility across Product Management, assets, and portal",Affinity/ownership master data plus active account setup model approved,Finish-to-start,No,Yes,High,Product Owner + Data Steward,Dealer group resolution must be account-driven and cannot be production-safe without trusted account setup and governed master data.,"Wrong dealer group, wrong branding, or wrong files shown to dealer accounts.",Use a tightly controlled pilot list of representative accounts if enterprise coverage is not ready.,Representative accounts resolve to expected dealer groups across portal and back-office screens.,Product Management & Dealer Catalog Governance > Dealer Group Model > Resolve dealer groups from account setup
DEP-031,Content Boundary,Dealer downloads and branded file serving,Curated asset manifest and Widen boundary decision complete,Finish-to-start,Yes,No,High,Marketing + Product,Digital Assets cannot serve the right files unless the in-scope asset set and Widen coexistence boundary are agreed.,"Wrong files, broken links, or uncontrolled scope expansion into enterprise DAM territory.",Start with a launch whitelist of approved product/dealer assets only.,Approved asset manifest and Widen transition decision signed off.,Digital Assets & Document Handling > Asset Serving > Provide stable asset links and dealer-group-aware file serving
DEP-032,Reporting Governance,Role dashboards and priority reports trusted in UAT,Metric definition register and semantic-layer sign-off complete,Finish-to-start,No,Yes,Critical,Reporting Lead + Business Data Steward,Role dashboards cannot be trusted if KPI definitions are still unsettled or implemented differently by component.,Executive and business users reject reporting despite complete-looking UI.,Freeze dashboard scope to validated metrics only until semantic governance is signed off.,"Metric register published, semantic layer approved, KPI lineage tests passed, and sample outputs reconciled.",Reports & Analytics > Reporting Governance > Publish a metric definition register
DEP-033,Go-Live Control,Dealer portal published catalog,Dealer-group go-live check completed in Product Management,Finish-to-start,No,Yes,High,Portal Admin + Product Management Owner,The dealer portal should only consume catalog views that passed the business go-live checklist.,Unreviewed products or wrong files become visible to dealers.,Publish only approved dealer groups and keep last-approved catalog available for rollback.,Go-live checklist passes and the approved catalog feed is published successfully for the dealer group.,Product Management & Dealer Catalog Governance > Go-Live Control > Run dealer-group go-live checks
DEP-034,Data Readiness,"Physical schema, sync build, and migration design proceed safely",Signed field-mapping workbooks for 7 core entities,Finish-to-start,Yes,Yes,Critical,BA + Integration Lead + Acumatica SME,"The system cannot safely finalize schema, validation, migration, or sync behavior without agreed field-level mappings.","Rework across schema, API contracts, migrations, and reporting definitions.",Keep build scope limited to non-dependent UI and foundation work until mappings are signed.,"Mapping workbooks approved with transforms, defaults, and conflict rules.",Acumatica Integration & Data Migration > Integration Blueprint > Define the integration contract
DEP-035,Lifecycle Boundary,"Customer lifecycle, onboarding, and sync behavior stay aligned",Customer-creation trigger and downstream lifecycle definitions locked,Finish-to-start,No,Yes,Critical,Product Owner + Architect,"Customer activation rules affect onboarding, portal eligibility, reporting, and INT-001 behavior.","Conflicting business behavior across customer, CIS, dealer portal, and reporting domains.",Use first-order planning assumption only temporarily and block conflicting downstream sign-off until decision closes.,"Customer-creation decision approved and reflected in workflow, integration, and reporting definitions.",Program Foundation & Solution Architecture > Solution Architecture > Lock customer lifecycle boundary
DEP-036,Security & Routing,Record-scope filtering and state-based routing work correctly,Minimal territory ownership matrix seeded,Finish-to-start,No,No,High,Sales Ops + Security Lead,Row-level security and early lead-routing logic need an agreed state ownership kernel before the full territory toolset exists.,Cross-territory visibility errors and wrong routing decisions.,Use a limited seed matrix and manual override queue until the full territory model is live.,State-to-TM/RD ownership matrix loaded and accepted for routing and record scope.,Territory Management & Field Routing > Territory Foundation > Establish minimal ownership kernel
DEP-037,Pilot Governance,General availability approval,"Pilot cohort, support tiers, runbooks, and GA go/no-go gate operational",Finish-to-start,No,Yes,High,Program Manager + Support Lead,The program should not widen from pilot to GA without a live support model and explicit approval thresholds.,Broad rollout without proven command-center ownership or exit criteria.,Keep rollout limited to pilot cohort until support and approval controls are active.,"Pilot success metrics, support roster, runbooks, and GA approval thresholds are approved and active.","QA, UAT, Rollout & Adoption > Pilot Governance > Control pilot-to-GA progression"
DEP-038,Consignment Control,Consignment reconciliation and PO follow-up operate in the right order,Audit scheduler and reconciliation states are live,Finish-to-start,No,Yes,High,Consignment Lead,The PO clock and exception handling should only start from real scheduled audit and reconciliation outcomes and certified Acumatica behavior.,Premature PO escalation and untrusted consignment dashboards.,Hold PO automation behind manual review; build Pulse-owned reconciliation states and exception review first.,Scheduled audits generate reconciled variance states that can safely trigger follow-up timers and exceptions; Acumatica transfer/receipt/PO behavior is certified with recovery/DLQ rules.,Consignment Management > Reconciliation & Exception Control > Operate the full variance lifecycle
DEP-039,Reporting Governance,Dashboard and report outputs accepted during pilot and cutover,KPI lineage testing and baseline reconciliation completed,Finish-to-start,No,Yes,High,Reporting Lead,Semantic-layer design is necessary but not sufficient; the business must see reconciled outputs before trusting dashboards.,UAT and pilot reject reporting despite completed UI and data pipelines.,Limit dashboard scope to validated KPIs and baseline packs until reconciliation tests pass.,"KPI lineage tests pass and approved baseline outputs reconcile across dashboards, reports, and exports.",Reports & Analytics > KPI Governance > Keep dashboards and exported reports consistent
DEP-040,Rollout Gate,Release 4 cutover and GA widening begins,Pilot exit metrics met and GA-entry approval signed,Finish-to-start,No,Yes,High,Program Manager + Executive Sponsor,"Release 4 assumes the program is leaving pilot with evidence, not optimism. The cutover window and broad rollout should only start after pilot outcomes, support readiness, and widening approval are reviewed together.","GA starts without verified pilot stability, approved widening criteria, or executive ownership of the transition.","Hold Release 4 to rehearsal, limited-cohort support, and defect burn-down until the pilot exit pack and GA-entry approval are complete.","Pilot KPI pack, defect thresholds, support readiness evidence, and executive GA-entry approval are signed off.","QA, UAT, Rollout & Adoption > Pilot Governance > Control pilot-to-GA progression"
