RAID_ID,Type,Title,Description,Impact,Probability,Owner,Trigger_or_Date,Response_or_Decision,Linked_Artifact,Status
RAID-024,Risk,Product identity mismatch can attach the wrong files to the wrong item (UPGRADED),"Acumatica item IDs, Shopify naming, CSV exports, and branded asset files do not line up cleanly today, creating a wrong-brand or wrong-file risk. Discovered during audit: no canonical SKU-to-asset registry exists; Widen asset IDs unknown; product variant handling undefined.",Critical,High,Product Lead + Data Lead + Acumatica SME,Week 1,"Create canonical Product Master with: (1) Acumatica item ID (primary key), (2) Shopify product ID (legacy reference), (3) CRM product name, (4) Product status (sellable/preview/archived), (5) Asset linkage (Widen asset ID + Pulse asset ID), (6) Brand/region override rules, (7) Variant strategy (single record vs child records). Build item-to-asset linkage database with validation rules. Conduct data quality audit on 50+ products before INT-002 (product sync) begins. Lock before MIG-021 (product migration).",MIG-021 / INT-002 / INT-023 / Product Management & Dealer Catalog Governance / INT-022,Open
RAID-025,Decision,Dealer portal does not expose stock counts or shipment scheduling as core scope,"The meetings support dealer access to orders, shipments, invoices, statements, payments, pricing, products, and files, but not dealer-facing stock visibility or shipment scheduling as a core workflow.",Medium,High,Product Owner,Baseline decision,"Keep dealer portal focused on catalog, pricing, ordering, account center, tracking, and files. Show shipment status and history, but remove shipment scheduling from core scope.",Dealer Portal Replacement for Shopify / Meeting session 11 feedback,Approved
RAID-026,Risk,Frontend prototype cannot ship to production as-is,"Frontend codebase is 147K LOC with 226 components but 0% real API integration (all mocked), <5% test coverage, 143 console.log debug statements, and placeholder authentication. Cannot be deployed to production database without comprehensive refactoring.",Critical,High,Engineering Lead,Immediately,"Complete 60-80 hour refactoring: (1) Remove MockDataProvider and all 676 lines of fake data, (2) Implement real API integration layer, (3) Remove all 143 console.log statements, (4) Add error boundaries and Sentry integration, (5) Reach 60% test coverage on critical paths. Extract giant components (LeadPipeline 74KB, CISForm 47KB). Lock Next.js to stable GA (v16 not canary).",FRONTEND_PROTOTYPE_DETAILED_AUDIT.md / DEP-001 through DEP-034,Open
RAID-027,Risk,242 TBD items (80% of WBS) have no structured validation plan,"302 WBS rows include 242 items marked TBD with no closure timeline, validation strategy, or acceptance criteria. Scope can expand/contract mid-sprint without structured capture.",Critical,High,Program Manager,Immediately,"Execute 4-week VALIDATION_AND_MAPPING_ROADMAP: Phase 1 (Week 1): Foundation + P0 kickoff (20h), Phase 2 (Week 2): Session 3 rerun + P0 deep-dive (29h), Phase 3 (Week 3): P1 completion + async responses (31h), Phase 4 (Week 4): Sessions 8, 12 reruns + final closures (28h). Target closure: Apr 25, 2026. Create METRIC_DEFINITION_REGISTER for all 19 KPIs. Close all 242 TBD mappings.",VALIDATION_AND_MAPPING_ROADMAP.md / METRIC_DEFINITION_REGISTER.md,Open
RAID-028,Risk,Database schema (Prisma models) not yet generated from ERD,"System ERD Blueprint defines 110+ entities conceptually, but no Prisma schema, DDL, or field-level detail exists. Backend devs cannot create tables, write queries, or set up migrations.",Critical,High,Architect + Backend Lead,Immediately,"Generate complete Prisma schema covering all 110+ entities with: (1) Field definitions + types + nullability + defaults, (2) Relationships + cascade behavior, (3) Index strategy for performance, (4) Soft-delete vs hard-delete decisions per entity, (5) Encryption field definitions (PCI, PHI), (6) Audit trail schema. Finalize FOUNDATION_SECURITY_ADMIN decisions on field-level masking before schema lock.",SYSTEM_ERD_BLUEPRINT.md / FOUNDATION_SECURITY_ADMIN_SUPPLEMENT.md / ACUMATICA_INTEGRATION_PRD.md,Open
RAID-029,Risk,Field-level mappings for 7 core entities still not created,"RAID-015 identified this; discovery completed 12 sessions but no detailed Customer, Lead, Pricing, Consignment, Account, Contact, Order field mapping workbooks exist. No mapping authority = no validation = no agreement on what data is synced.",Critical,High,BA + Integration Lead + Acumatica SME,Immediately,"Deliver the signed field-mapping workbooks added to Seq 02 for Customer, Contact, Product, Pricing, Consignment, Order, and Reporting. Include transforms, defaults, conflict rules, and sign-off before schema and sync implementation proceed.",PROJECT_BREAKDOWN_DETAILED.csv / ACUMATICA_INTEGRATION_PRD.md / DATA_MIGRATION_MATRIX.csv,Open
RAID-030,Risk,Canary Next.js version locks frontend to pre-release software,"package.json specifies Next.js v16.1.0-canary.16 (pre-release), not stable GA. Production deployment on canary version is unsupported and carries stability risk.",High,High,Engineering Lead,Before Sprint 1 Kickoff,Upgrade to Next.js 16 GA (or latest stable 16.x). Test build and dev server with stable version. Pin version in package.json and package-lock.json. Add pre-commit hook to block canary versions.,package.json / TESTING_AND_QUALITY_STRATEGY.md,Open
RAID-031,Risk,Message queue infrastructure (pg-boss) not yet provisioned,"MESSAGE_QUEUE_AND_ASYNC_PATTERN selected PostgreSQL pg-boss for 5-tier queue (CRITICAL/HIGH/STANDARD/BATCH/DLQ) supporting 26 integrations, but no queue infrastructure, job schema, or test framework exists.",High,High,Backend Lead,Before Integration Development,"Provision pg-boss infrastructure: (1) Create job table schema + monitoring schema, (2) Implement 5-tier queue with exponential backoff (max 300s, 30*2^(attempt-1)), (3) Build monitoring dashboard (queue depth, latency p50/p95/p99, DLQ size), (4) Create unit + integration tests for queue patterns, (5) Define queue SLAs per tier (CRITICAL: 5min, HIGH: 15min, STANDARD: 1hr, BATCH: 24hr). Test with mock Acumatica jobs.",MESSAGE_QUEUE_AND_ASYNC_PATTERN.md / DEP-017,Open
RAID-032,Risk,Mobile offline conflict resolution UX under-specified,"RAID-009 flagged offline merge risk; MOBILE_APP_SUPPLEMENT details 11 error scenarios but merge conflict UX (side-by-side review, version selection, cascading resolution) is conceptual only. Risk of low adoption if UX is friction-heavy.",Medium,High,Mobile Lead + Product,Before Mobile UAT,"Complete detailed storyboards for offline sync conflicts: (1) Detection logic (last_updated_by + timestamp + version hash), (2) UI mockups for 3 conflict types (add/update conflict, delete conflict, circular conflict), (3) Merge resolution strategies (use mine / use server / manual merge), (4) Cascade behavior (resolve all conflicts before continuing), (5) Logging/audit trail. Conduct user testing with 3-5 field TMs.",MOBILE_APP_SUPPLEMENT.md / DEP-021 / MOBILE_FIELD_APP_INTERACTION_DESIGN.md,Open
RAID-033,Risk,Production readiness artifacts incomplete before UAT,"Testing & Quality Strategy targets 70% unit / 40% integration / 20% E2E coverage but test suites not yet built. Security Architecture, Deployment Pipeline, and Cost Model are documented but not validated against real infrastructure.",Medium,Medium,Engineering Manager,Before UAT Phase,"Complete Release 3 pilot-readiness and Release 4 cutover gates: role UAT, non-functional testing, reconciliation, runbooks, support command center, and go/no-go evidence before GA.",FULL_RELEASE_PLAN.md / TESTING_AND_QUALITY_STRATEGY.md / PROJECT_BREAKDOWN_DETAILED.csv,Open
RAID-034,Risk,Pilot and GA control model may remain procedural instead of operational,"The updated WBS and release plan now require named pilot cohorts, support tiers, runbooks, and GA go/no-go thresholds. If those controls are not turned into operating artifacts before pilot start, rollout risk remains high even if features are built.",High,Medium,Program Manager + Support Lead,Before Release 3 pilot,"Operationalize the pilot-governance, support-command-center, and role-runbook work packages before pilot launch; require evidence at the G3 and G4 go/no-go gates.",FULL_RELEASE_PLAN.md / PROJECT_BREAKDOWN_DETAILED.csv / DEP-037,Open
RAID-035,Decision,RD headcount and regional boundary confirmation,"`src/lib/data/territoryData.ts` defines 4 active RDs: JP (Western), DH (Eastern), BL (Florida), and JGP (Canada). BA materials still describe a 2-RD model (JP West+Canada, DH East). Stakeholder confirmation is required before territory routing, org-chart, and RD dashboard rollup logic is treated as authoritative in code or planning docs.",High,High,CG / Don Hearn,Before Seq 02 territory routing build,"Confirm the active RD org structure with CG and Don Hearn. If 4 RDs is correct, update the BA/spec materials. If 2 RDs is correct, update `territoryData.ts`. Do not treat either side as a code defect until confirmed.",MCD-09 / src/lib/data/territoryData.ts / DISCOVERY_SESSIONS_BA_ANALYSIS.md,Open
