Module,Epic,Story,Task,Sub-Task,Component,Dependencies,Story_Points,Sprint,Phase,Priority,Acceptance_Criteria,Notes,Meeting_Traceability
"Security, Identity, Environments & DevOps",Environments & Delivery,Establish CI/CD pipeline and deployment runbook,Build CI/CD pipeline with environment promotion,Define build → test → staging → production pipeline; implement blue-green deployment; create rollback procedures; document deployment runbook,Platform,Environment baseline,13,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,Code changes promote through environments with automated tests; rollback completes within 15 minutes; runbook reviewed and approved,Addresses RAID-033. | Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Identity & Access,Secure internal and dealer access,Implement internal SSO and dealer identity patterns,"Support employee, admin, TM, RD, VP, CSR, and dealer personas",Identity,Environment baseline,8,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,Users authenticate with the correct experience by persona,Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Identity & Access,Enforce role-based permissions,Configure permission matrix for internal teams and dealer contacts,"Control records, dashboards, and admin functions by role",Access Control,Identity patterns,8,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,Each role sees only approved data and actions,Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Identity & Access,Enforce record-scope hierarchical filtering,Build own/team/subordinate/all record-scope filters,Implement row-level security using role hierarchy: TM sees own records; RD sees subordinate TM records; VP sees regional rollup; Executive sees all residential,Access Control,Role-based permissions and minimal territory ownership matrix,8,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,Each role sees only records within their hierarchical scope; no cross-territory data leakage confirmed in UAT,Depends on a seeded ownership model before the full territory management experience is complete. | Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Security & Compliance,Protect sensitive credit and personal data,"Segregate PCI data, tokenization, and redaction controls",Prevent CIS credit data from being stored in insecure flows,Security,Source-of-truth rules,13,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,"Sensitive fields are separated, masked, and auditable",Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Security & Compliance,Protect sensitive financial data at the field level,Implement field-level data masking for PCI-sensitive fields,Tokenization-state display only; no raw card/bank data in CRM UI or API responses; mask in logs and exports,Security,Identity patterns and PCI controls,8,Sprint 02,Phase 1 - Foundation & Integration Readiness,P0,"No raw card data appears in any CRM view, API response, log entry, or export; only tokenization state and last-four are visible",Addresses Role-Based Visibility PRD field-level masking requirement. | Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Release Controls,Control rollout safely by cohort and feature,Implement feature-flag and cohort-targeting framework,"Enable feature flags, cohort targeting, and release toggles for dealer portal, mobile, reporting, alerts, and pilot rollouts",Feature Flags,Build CI/CD pipeline with environment promotion and Implement internal SSO and dealer identity patterns,5,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,"Teams can enable or disable scoped features by environment, cohort, or module without code rollback",Closes the missing release-toggle control identified in technical validation. | Legacy Sprint Bucket: Seq 02,Post-discovery roadmap validation (2026-03-30)
"Security, Identity, Environments & DevOps",Observability & Audit,Create operational traceability,"Implement audit logging, sync logs, and admin activity history",Capture who changed what and when,Monitoring,Role-based permissions,8,Sprint 03,Phase 1 - Foundation & Integration Readiness,P1,Business and technical changes are traceable end to end,Legacy Sprint Bucket: Seq 02,
"Security, Identity, Environments & DevOps",Resilience & Trust,Prepare for secure operations,"Configure backups, recovery runbooks, uptime monitoring, and AI guardrails",Define model usage and data handling policy,Platform Operations,Environment baseline,5,Sprint 03,Phase 1 - Foundation & Integration Readiness,P1,Recovery and data handling procedures are tested,Addresses executive concerns about confidentiality and responsible AI use. | Legacy Sprint Bucket: Seq 02,
"Master Data, Admin Settings & Configuration",Admin Experience,Give admins usable control surfaces,Build CRUD workflows with validation and audit history,"Support create, edit, deactivate, and bulk load actions",Admin UI,Reference data loaded,8,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,Admins can maintain reference data without engineering help,Legacy Sprint Bucket: Seq 02,
"Master Data, Admin Settings & Configuration",Reference Data Administration,Govern operational master data,Seed affinity groups and ownership groups from legacy reference exports,"Import governed affinity and ownership-group records from researched workbooks, validate them once, and then hand them to stewarded admin CRUD.",Admin Console,Canonical data model,8,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,Legacy reference exports land in governed admin tables and drive lead/customer workflows without spreadsheet lookups.,MIG-001 / MIG-002 | Release 1 migration wave | Legacy Sprint Bucket: Seq 02,Post-discovery migration alignment (2026-03-31)
"Master Data, Admin Settings & Configuration",Reference Data Administration,Govern operational master data,"Import lead sources, customer classes, training categories, and capture settings","Load governed source tags, branded capture endpoints, and reference configuration from legacy admin assets before ongoing admin stewardship takes over.",Lead Capture Admin,Brand config,5,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,Legacy operational configuration is imported once and then becomes admin-managed without code changes.,MIG-003 / MIG-004 | Release 1 migration wave | Legacy Sprint Bucket: Seq 02,Post-discovery migration alignment (2026-03-31)
Acumatica Integration & Data Migration,Integration Blueprint,Define the integration contract,"Specify Acumatica core APIs, events, schedules, and ownership","Lock Acumatica contracts for customer, order, invoice, shipment, pricing, product, and payment sync, including auth, queue, retry, and reconciliation rules.",Integration Design,Source-of-truth rules,8,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,"Core Acumatica interface responsibilities, endpoint/auth readiness, queue-DLQ handling, and reconciliation cadence are documented and approved",Keeps ERP-facing interface design explicit before sync implementation scales. | Legacy Sprint Bucket: Seq 02,Session 2; Session 7 (Mar 2); Session 11 (Mar 19); Session 12 (Mar 24)
Acumatica Integration & Data Migration,Integration Blueprint,Define the integration contract,Publish third-party integration inventory and vendor decision tracker,"Inventory Microsoft 365/Outlook, SMTP delivery, payment gateways, Widen/Dropbox, Shopify, HubSpot, QuickBooks, S3/CloudFront, mapping, OCR, push, and other external services with owner, auth, and release dependency.",Third-Party Integration Inventory,Source-of-truth rules,5,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,"Every third-party dependency has owner, integration pattern, auth/security note, vendor-decision status, and planned release/sprint anchor","Feeds the integration register, third-party costing sheet, and vendor decision tracking before build. | Legacy Sprint Bucket: Seq 02",Session 1; Session 7 (Mar 2); Session 9 (Mar 13); Session 12 (Mar 24)
Acumatica Integration & Data Migration,Integration Blueprint,Define the integration contract,"Produce signed field-mapping workbooks for customer, contact, product, pricing, consignment, order, and reporting entities","Capture required and optional fields, transforms, defaults, conflict rules, and sign-offs per entity before build",Field Mapping,Source-of-truth rules and canonical data model,13,Sprint 03,Phase 1 - Foundation & Integration Readiness,P0,"Field mappings exist for the seven core entities with transforms, defaults, conflict rules, and named sign-off",Closes the pre-build mapping blocker from the readiness checklist. | Legacy Sprint Bucket: Seq 02,Session 2; Session 5; Session 7 (Mar 2); Session 12 (Mar 24)
Acumatica Integration & Data Migration,Integration Blueprint,Prove integration environment readiness,"Certify Acumatica sandbox access, auth, endpoint coverage, and queue-DLQ readiness","Validate representative endpoints, auth flow, queue and dead-letter pattern, retry behavior, and reconciliation cadence in a working environment",Integration Environment,Integration contract and field mappings,8,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,"Sandbox auth, representative endpoints, queue-DLQ patterns, retry rules, and reconciliation cadence are proven in a working environment",No sync delivery wave should scale before this gate passes. | Legacy Sprint Bucket: Seq 02,
Acumatica Integration & Data Migration,Integration Governance,Keep consumers off unstable contracts,"Define API versioning, compatibility, and deprecation policy","Publish contract-version rules, backward-compatibility window, consumer upgrade expectations, and deprecation approvals for web, portal, mobile, reporting, and integration consumers",API Governance,"Specify APIs, events, schedules, and ownership for customer, order, invoice, payment, shipment, pricing, and product data",5,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,"Versioning policy is approved, applied to named interfaces, and referenced by consumer teams before sync build scales",Closes the build-safety gap around consumer coupling to unstable integration contracts. | Legacy Sprint Bucket: Seq 02,Post-discovery roadmap validation (2026-03-30)
Acumatica Integration & Data Migration,Integration Resilience,Prevent duplicate processing and replay errors,Implement idempotency-key and duplicate-event protection,"Define idempotency keys, duplicate-detection rules, and safe re-submit behavior for customer, order, payment, pricing, consignment, and document sync flows",Integration Resilience,"Specify APIs, events, schedules, and ownership for customer, order, invoice, payment, shipment, pricing, and product data and Define API versioning, compatibility, and deprecation policy",5,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,Duplicate or replayed messages do not create repeated business events and audit history shows why a message was ignored or applied,Makes duplicate-event protection explicit instead of leaving it implicit in conflict rules. | Legacy Sprint Bucket: Seq 02,Post-discovery roadmap validation (2026-03-30)
Acumatica Integration & Data Migration,Integration Resilience,Recover safely from failed event handling,Build replay and reprocessing controls with poison-message quarantine,"Support safe replay, operator comments, failure categorization, and poison-message quarantine with audit trail and ownership rules",Replay Controls,"Implement idempotency-key and duplicate-event protection and Certify Acumatica sandbox access, auth, endpoint coverage, and queue-DLQ readiness",8,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,"Failed integration messages can be replayed safely, quarantined when necessary, and traced through operator history",Turns replay and quarantine into first-class delivery work instead of relying only on queue visibility. | Legacy Sprint Bucket: Seq 02,Post-discovery roadmap validation (2026-03-30)
Acumatica Integration & Data Migration,Migration Governance,Define migration go/no-go rules before build scales,Define migration acceptance thresholds and reconciliation tolerances by source stream,"Set pass-fail tolerances, sample sizes, exception thresholds, and reconciliation rules for Dynamics CRM, HubSpot, Shopify, Acumatica, QuickBooks, spreadsheets, and file repositories",Migration Governance,"Produce signed field-mapping workbooks for customer, contact, product, pricing, consignment, order, and reporting entities",5,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,Each source stream has approved migration acceptance thresholds and reconciliation rules before migration build and rehearsal work begin,Defines release-by-release migration tolerances before any rehearsal or cutover wave begins. | Legacy Sprint Bucket: Seq 02,Post-discovery roadmap validation (2026-03-30)
Territory Management & Field Routing,Territory Foundation,Establish minimal ownership kernel,Seed minimal territory ownership matrix for routing and security scopes,"Load state-to-TM-and-RD ownership needed for lead routing, record scope, and early dashboards before full map tooling is complete",Territory Seed Data,Reference data and role model,5,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,State-based ownership exists for routing and record-scope enforcement before the full territory management experience is released,Closes the dependency gap between security scoping and the later territory UI work. | Legacy Sprint Bucket: Seq 02,Session 1; Session 2
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 02 - Release Buffer,"UAT, bug fixes, deployment, stabilization",,Testing & Release,Seq 02 features complete,13,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,"All critical bugs fixed, UAT passed, production stable for 5 days",Post-release buffer (~15% of Seq 02) | Legacy Sprint Bucket: Seq 02-Buffer,
Mobile Field App,Mobile Foundation,Handle errors gracefully in the field,Build mobile error handling framework for 11 scenarios,"Handle: timeout, 401, 403, 404, 422, 500, GPS unavailable, GPS radius fail, camera failure, storage full, sync conflict; each with detection, UX message, and recovery action",Mobile App,Mobile foundation,8,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,Each error scenario shows user-friendly message with recovery action; no unhandled crashes; error events logged for analytics,Addresses PRD Supplement Part D error handling scenarios. | Legacy Sprint Bucket: M-Seq 02,
Mobile Field App,Mobile Foundation,Deliver a field-ready mobile experience,"Build the mobile shell, secure login, and profile management",Support internal roles on managed devices,Mobile App,Identity patterns,8,Sprint 04,Phase 1 - Foundation & Integration Readiness,P0,Field users can access the mobile app securely,Moved into the early mobile foundation wave so secure shell/login exists before dependent field workflows. | Legacy Sprint Bucket: M-Seq 02,
"QA, UAT, Rollout & Adoption",Release & Stabilization,M-Seq 02 - Release Buffer,"UAT, bug fixes, deployment, stabilization",,Testing & Release,M-Seq 02 features complete,5,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,"All critical bugs fixed, UAT passed, production stable for 5 days",Post-release buffer (~15% of M-Seq 02) | Legacy Sprint Bucket: M-Seq 02-Buffer,
"Security, Identity, Environments & DevOps",Security & Compliance,Separate internal workflow data from dealer visibility,Build internal notes and workflow status masking for dealer portal,"Internal notes, lead stage details, and workflow statuses hidden from dealer API responses and portal views; audit log confirms no leakage",Access Control,Dealer identity and role-based permissions,5,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,No internal notes or workflow statuses appear in dealer portal; API responses filtered by role; penetration test confirms no leakage,Addresses Role-Based Visibility PRD internal/external separation. | Legacy Sprint Bucket: Seq 03,
Territory Management & Field Routing,Territory Model,Manage residential territories visually,"Build an interactive map with states, territory ownership, and customer overlays",Represent how field teams actually work,Territory Map,Customer geo data,13,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,Users can browse territories and associated accounts on a live map,Legacy Sprint Bucket: Seq 03,
"Communication, Notifications & Alerts",Alert Engine,Create one notification framework,"Define rule-driven alerts, delivery channels, and acknowledgment states","Reuse the same engine across modules with standard alert types, delivery states, and audit trail.",Notification Engine,Access control and communication hub,5,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,"Alerts can be configured, delivered, and tracked consistently","Pulled earlier because lead, credit, training, consignment, and mobile flows all consume the shared alert engine. | Legacy Sprint Bucket: Seq 03",
"Communication, Notifications & Alerts",Alert Engine,Create one notification framework,Configure SMTP / Microsoft 365 dispatch channel for alerts and scheduled reports,"Support the approved SMTP or Microsoft 365 send path, templates, bounce handling, resend flow, and delivery audit before downstream modules depend on notifications.",Delivery Channels,Access control and communication hub,3,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,"Alert engine can dispatch through the approved email channel with delivery logs, bounce review, and resend workflow",Makes email delivery dependency explicit for alerts and scheduled reports. | Legacy Sprint Bucket: Seq 03,Session 1; Session 9 (Mar 13); Session 12 (Mar 24)
"Communication, Notifications & Alerts",Alert Platform Readiness,Prove the alert engine before consumers scale,Certify shared alert engine readiness before downstream consumers,"Validate event intake, routing rules, channel delivery, quiet hours, retries, acknowledgment state, and monitoring before lead, credit, training, mobile, and consignment consumers depend on it",Alert Engine,"Define rule-driven alerts, delivery channels, and acknowledgment states",5,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,"Shared alert engine proves rule execution, channel delivery, acknowledgment tracking, and monitoring in a reusable foundation test pack",Closes the sequencing gap between alert design and downstream mobile/workflow consumers. | Legacy Sprint Bucket: Seq 03,Post-discovery roadmap validation (2026-03-30)
Lead Capture & Lead Management,Lead Capture Replacement,Replace HubSpot and manual intake,Publish embeddable branded lead forms,Support 10-16 branded websites with reusable widgets,Web Widget,Lead capture admin,8,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,Each brand can deploy a form that writes directly to CRM,Legacy Sprint Bucket: Seq 03,
Lead Capture & Lead Management,Lead Capture Replacement,Replace HubSpot and manual intake,"Auto-tag source, brand, and campaign metadata","Stamp every submission with origin, site, and version",Lead Intake API,Branded lead forms,5,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,New leads arrive with traceable source metadata,Legacy Sprint Bucket: Seq 03,
Lead Capture & Lead Management,Lead Intake Operations,Enable all inbound channels,Support manual BD lead entry,"Field form for BD staff to create leads at shows, phone, referral; pre-populated source fields",Lead Intake,Lead stage and routing configuration,5,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,BD staff can create leads with source attribution in under 2 minutes,Session 2: Michelle confirmed BD staff manually enter show and phone leads today. | Legacy Sprint Bucket: Seq 03,Session 2
Lead Capture & Lead Management,Lead Intake Operations,Enable all inbound channels,Build lead deduplication engine,Cross-source matching by company name + email + phone; survivorship rules; merge workflow with audit trail,Lead Processing,Lead intake operations,13,Sprint 05,Phase 2 - Lead-to-Customer Core CRM,P0,Duplicate leads from web / show / roster are identified and merged before entering pipeline,Session 2: Multiple sources (web + show + roster) create duplicates; no dedup exists today. | Legacy Sprint Bucket: Seq 03,Session 2
Lead Capture & Lead Management,Lead Intake Operations,Enable all inbound channels,Capture private label brand attribution,Preserve which of 16 branded sites originated the lead; attribute survives entire lifecycle including conversion to customer,Lead Attribution,Lead intake operations,5,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Brand attribution field is populated and visible on lead and customer records,Session 1: 16+ branded websites each need separate source tracking. | Legacy Sprint Bucket: Seq 03,Session 1
Lead Capture & Lead Management,Lead Operations,Run the full lead lifecycle,Configure the seven confirmed lead stages,Support non-sequential movement and clear status history,Lead Pipeline,Canonical data model,8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Leads can move across all approved stages with history retained,Legacy Sprint Bucket: Seq 03,
Lead Capture & Lead Management,Lead Operations,Run the full lead lifecycle,Capture the full lead profile,"Enforce affinity, ownership, service tech count, phone, email, and source requirements",Lead Record,Reference data loaded,8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Lead records match the researched field spec,Legacy Sprint Bucket: Seq 03,
Lead Capture & Lead Management,Lead Routing,Assign leads accurately and quickly,Implement service-tech-count routing,Send 5 or fewer service techs to Strategic Growth and larger accounts to territory managers,Routing Engine,Lead record and role model,8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Assignment follows the researched service-tech threshold logic,Legacy Sprint Bucket: Seq 03,
Lead Capture & Lead Management,Lead Operations,Run the full lead lifecycle,"Build lead workspace views for list, Kanban, discovery execution, fast-track, and closed-lost handling","Give BD and sales users queue, Kanban, discovery outcome capture, skip and fast-track controls, and cold/not-interested handling in one workspace",Lead Workspace,"Lead stages, lead record, and routing rules",8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,"Users can operate leads end-to-end with list, Kanban, discovery execution, fast-track, and closed-lost outcomes from one workspace",Closes the gap between lead intake and day-to-day BD operations. | Legacy Sprint Bucket: Seq 03,Session 1; Session 2; Session 4
"CIS, Credit & Onboarding Workflow",CIS Design and Capture,Digitize the CIS experience,Define CIS digital form field specification,"Map all CIS fields to customer master: contact, company, location, service tech count, affinity, ownership, service area; auto-populate from lead on issue",CIS Form,Canonical data model,8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,CIS fields map 1:1 to customer master fields; auto-population eliminates re-keying,Session 2 plus Session 9 correction: routing count is service-tech based. | Legacy Sprint Bucket: Seq 03,Session 2 plus Session 9 correction
"CIS, Credit & Onboarding Workflow",CIS Design and Capture,Digitize the CIS experience,Assign distribution center by state at CIS stage,"Auto-assign shipping DC based on state: NJ=Northeast+Midwest, FL=Southeast, NV=West, TX=South; override supported; propagate to customer account on activation",Onboarding,CIS form fields and canonical data,5,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Every CIS and activated account has correct DC assigned without manual lookup,Session 1 (Feb 16): CG confirmed 4 DC auto-assignment by state is required. | Legacy Sprint Bucket: Seq 03,Session 1 (Feb 16)
"CIS, Credit & Onboarding Workflow",Digital CIS,Replace paper onboarding,Build digital CIS forms with signature capture,"Support typed entry, signature, and validation",CIS Experience,Identity patterns,8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Users can complete and sign a CIS digitally,Legacy Sprint Bucket: Seq 03,
"CIS, Credit & Onboarding Workflow",Digital CIS,Replace paper onboarding,Separate credit card collection from CIS data,Use secure payment capture and tokenization for card data,Secure Credit Capture,PCI controls,8,Sprint 06,Phase 2 - Lead-to-Customer Core CRM,P0,Credit data is stored separately from the CIS record,Legacy Sprint Bucket: Seq 03,
"Customer, Account, Contact & Multi-Location Management",Contact Management,Implement contact hierarchy and role ordering,Merge bootstrapped contacts into the governed three-contact-role model,"Merge Acumatica and Dynamics contact extracts into Primary, Billing, and Accounting roles with dedupe and routing-safe ownership.",Contact Model,Canonical data model,5,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,"Bootstrapped contacts are merged, deduped, and routable across the three governed roles.",MIG-007 | Release 2 bootstrap wave | Legacy Sprint Bucket: Seq 03,Post-discovery migration alignment (2026-03-31)
"Customer, Account, Contact & Multi-Location Management",Customer 360,Model the full customer account,Build an Acumatica-aligned customer workspace,"Cover general, attributes, billing, contacts, financial, GL, locations, payment, salespersons, and shipping context",Customer Workspace,Canonical data model,13,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,Customer records reflect the full researched business structure,Legacy Sprint Bucket: Seq 03,
"Customer, Account, Contact & Multi-Location Management",Customer 360,Model the full customer account,"Capture affinity, ownership, brand, class, and lifecycle context",Show operational and financial classification fields on the account,Customer Workspace,Reference data loaded,5,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,Users can segment accounts using real business groupings,Legacy Sprint Bucket: Seq 03,
"Customer, Account, Contact & Multi-Location Management",Multi-Location Management,Build parent-child location hierarchy and shared account rollups,Bootstrap multi-location hierarchy from Acumatica shipping-address extracts,"Load parent-child locations from Acumatica shipping addresses, preserve up to 50 addresses per account, and retain parent rollups with location-level overrides.",Multi-Location,Contact model and canonical data,13,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,"Bootstrapped locations render correctly with parent rollup, per-location detail, and governed overrides.",MIG-006 | Release 2 bootstrap wave | Legacy Sprint Bucket: Seq 03,Post-discovery migration alignment (2026-03-31)
Dealer Portal Replacement for Shopify,Dealer Identity,Replace Shopify account model,Authenticate dealer users at the customer-account level,Match access to customer ID rather than isolated contact accounts,Dealer Identity,Customer workspace and access control,8,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,Multiple contacts can access a shared company account,Legacy Sprint Bucket: Seq 03,
Reports & Analytics,Reporting Foundation,Create trusted reporting data,Build activity categorization taxonomy and enforcement,"Enforce dropdown on all activities: Sales, Support, Training, Marketing, Warranty, Technical; taxonomy configurable by admin; field required on activity save",Activity Taxonomy,Canonical data model,5,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,Activity type field is required and governed; all historical activities categorized during migration,Session 8: Michelle and Adrienne confirmed activity type distinction is critical for all 5 report families. | Legacy Sprint Bucket: Seq 03,Session 8
"QA, UAT, Rollout & Adoption",Integration Quality,Validate external contracts before dependent waves scale,"Automate contract tests for Acumatica, Outlook, payment, route-provider, and mobile APIs","Add contract-test automation for interface schemas, failure modes, auth behavior, and response compatibility across critical third-party and internal APIs",Contract Testing,"Specify APIs, events, schedules, and ownership for customer, order, invoice, payment, shipment, pricing, and product data and Define API versioning, compatibility, and deprecation policy",8,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,Critical interface contracts are testable in automation and failures block dependent delivery waves from promoting,Makes contract-test automation explicit instead of burying it inside generic test coverage rows. | Legacy Sprint Bucket: Seq 03,Post-discovery roadmap validation (2026-03-30)
"QA, UAT, Rollout & Adoption",Release Controls,Reduce blast radius during pilot and launch,Define kill-switch and rollback matrix by module,"Define independent rollback, disablement, and containment actions for portal, mobile, alerts, reporting jobs, integrations, and scheduled background work",Operational Controls,Implement feature-flag and cohort-targeting framework,5,Sprint 07,Phase 2 - Lead-to-Customer Core CRM,P0,"Teams can name the kill switch, rollback action, owner, and evidence threshold for each critical module before pilot exposure",Closes a missing release-control artifact for pilot and GA safety. | Legacy Sprint Bucket: Seq 03,Post-discovery roadmap validation (2026-03-30)
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 03 - Release Buffer,"Execute Wave 1 bootstrap migration rehearsal, UAT, bug fixes, deployment, and stabilization","Rehearse customer, location, contact, lead history, and active CIS package loads; clear defects; and secure internal pilot sign-off.",Testing & Release,Seq 03 features complete,21,Sprint 08,Phase 2 - Lead-to-Customer Core CRM,P0,"Wave 1 bootstrap migration passes rehearsal reconciliation, critical bugs are fixed, UAT passes, and the pilot environment stays stable for 5 days.",Wave 1 rehearsal covers MIG-005 to MIG-009 and MIG-019 | Legacy Sprint Bucket: Seq 03-Buffer,Post-discovery migration alignment (2026-03-31)
